question,pred_answer,true_answer,context_used,score,exact_match,f1,timestamp
A preaspirated consonant is marked how?,by placing the aspiration modifier letter before the consonant symbol,placing the aspiration modifier letter before the consonant symbol,Preaspirated consonants are marked by placing the aspiration modifier letter before the consonant symbol: ⟨ʰp⟩ represents the preaspirated bilabial stop.,0.5155574679374695,0,0.9333333333333333,1759705986
Children under what age often cannot comprehend sarcasm?,nine,nine,"The appearance of more systematic, abstract thinking is another notable aspect of cognitive development during adolescence. For example, adolescents find it easier than children to comprehend the sorts of higher-order abstract logic inherent in puns, proverbs, metaphors, and analogies. Their increased facility permits them to appreciate the ways in which language can be used to convey multiple messages, such as satire, metaphor, and sarcasm. (Children younger than age nine often cannot comprehend sarcasm at all.) This also permits the application of advanced reasoning and logical processes to social and ideological matters such as interpersonal relationships, politics, philosophy, religion, morality, friendship, faith, democracy, fairness, and honesty.",0.7730469107627869,1,1.0,1759705987
Why is there difficulty in defining process theology ?,process theologians are so diverse and transdisciplinary in their views and interests,process theologians are so diverse and transdisciplinary in their views and interests,"In fact, process theology is difficult to define because process theologians are so diverse and transdisciplinary in their views and interests. John B. Cobb, Jr. is a process theologian who has also written books on biology and economics. Roland Faber and Catherine Keller integrate Whitehead with poststructuralist, postcolonialist, and feminist theory. Charles Birch was both a theologian and a geneticist. Franklin I. Gamwell writes on theology and political theory. In Syntheism - Creating God in The Internet Age, futurologists Alexander Bard and Jan Söderqvist repeatedly credit Whitehead for the process theology they see rising out of the participatory culture expected to dominate the digital era.",0.5174229145050049,1,1.0,1759705987
"Upon awakening to the true nature of the self, what is one is liberated from?",suffering,suffering (dukkha) and the cycle of incessant rebirths (saṃsāra),"The concept of liberation (nirvāṇa)—the goal of the Buddhist path—is closely related to overcoming ignorance (avidyā), a fundamental misunderstanding or mis-perception of the nature of reality. In awakening to the true nature of the self and all phenomena one develops dispassion for the objects of clinging, and is liberated from suffering (dukkha) and the cycle of incessant rebirths (saṃsāra). To this end, the Buddha recommended viewing things as characterized by the three marks of existence.",0.2892001271247864,0,0.2222222222222222,1759705988
Why did the US impose an arms embargo on Turkey?,using American-supplied equipment during the Turkish invasion of Cyprus in 1974,using American-supplied equipment during the Turkish invasion of Cyprus in 1974,"International pressure led to a ceasefire, and by then 37% of the island had been taken over by the Turks and 180,000 Greek Cypriots had been evicted from their homes in the north. At the same time, around 50,000 Turkish Cypriots moved to the areas under the control of the Turkish Forces and settled in the properties of the displaced Greek Cypriots. Among a variety of sanctions against Turkey, in mid-1975 the US Congress imposed an arms embargo on Turkey for using American-supplied equipment during the Turkish invasion of Cyprus in 1974. There are 1,534 Greek Cypriots and 502 Turkish Cypriots missing as a result of the fighting.",0.23082780838012695,1,1.0,1759705990
When did Hodgson publish his DNA study?,1896,2014,"In 1896, Patrick and Gilbert observed that during a prolonged period of sleep deprivation, sleepiness increases and decreases with a period of approximately 24 hours. In 1918, J.S. Szymanski showed that animals are capable of maintaining 24-hour activity patterns in the absence of external cues such as light and changes in temperature. In the early 20th century, circadian rhythms were noticed in the rhythmic feeding times of bees. Extensive experiments were done by Auguste Forel, Ingeborg Beling, and Oskar Wahl to see whether this rhythm was due to an endogenous clock.[citation needed] Ron Konopka and Seymour Benzer isolated the first clock mutant in Drosophila in the early 1970s and mapped the ""period"" gene, the first discovered genetic determinant of behavioral rhythmicity. Joseph Takahashi discovered the first mammalian circadian clock mutation (clockΔ19) using mice in 1994. However, recent studies show that deletion of clock does not lead to a behavioral phenotype (the animals stil",8.192339009838179e-06,0,0.0,1759705991
What is to the south of the Sahara?,the Sahel,Sahel,"To the south, the Sahara is bounded by the Sahel, a belt of dry tropical savanna with a summer rainy season that extends across Africa from east to west. The southern limit of the Sahara is indicated botanically by the southern limit of Cornulaca monacantha (a drought-tolerant member of the Chenopodiaceae), or northern limit of Cenchrus biflorus, a grass typical of the Sahel. According to climatic criteria, the southern limit of the Sahara corresponds to the 150 mm (5.9 in) isohyet of annual precipitation (this is a long-term average, since precipitation varies annually).",0.44063031673431396,1,1.0,1759705992
What organization did all combatants on both sides of the war belong to?,United Nations,United Nations,"The Korean War was a conflict between the United States and its United Nations allies and the communist powers under influence of the Soviet Union (also a UN member nation) and the People's Republic of China (which later also gained UN membership). The principal combatants were North and South Korea. Principal allies of South Korea included the United States, Canada, Australia, the United Kingdom, although many other nations sent troops under the aegis of the United Nations. Allies of North Korea included the People's Republic of China, which supplied military forces, and the Soviet Union, which supplied combat advisors and aircraft pilots, as well as arms, for the Chinese and North Korean troops.",0.5462163666961715,1,1.0,1759705993
What is the term used for philosophies that consider the spiritual to be of paramount importance?,idealist,idealist,"Any philosophy that assigns crucial importance to the ideal or spiritual realm in its account of human existence may be termed ""idealist"". Metaphysical idealism is an ontological doctrine that holds that reality itself is incorporeal or experiential at its core. Beyond this, idealists disagree on which aspects of the mental are more basic. Platonic idealism affirms that abstractions are more basic to reality than the things we perceive, while subjective idealists and phenomenalists tend to privilege sensory experience over abstract reasoning. Epistemological idealism is the view that reality can only be known through ideas, that only psychological experience can be apprehended by the mind.",0.7394222078437451,1,1.0,1759705994
a antenna element not connected to anything is circuited how?,open circuited,open circuited,"This is a consequence of Lorentz reciprocity. For an antenna element  not connected to anything (open circuited) one can write . But for an element  which is short circuited, a current is generated across that short but no voltage is allowed, so the corresponding . This is the case, for instance, with the so-called parasitic elements of a Yagi-Uda antenna where the solid rod can be viewed as a dipole antenna shorted across its feedpoint. Parasitic elements are unpowered elements that absorb and reradiate RF energy according to the induced current calculated using such a system of equations.",0.4894629229675047,1,1.0,1759705994
